R38D builder: 190 shape×variant entries, 176 unique builds
  [  1/176] BUILT N=4096,K=32768,ts_lgk4_R38D (4.6s)
  [  2/176] BUILT N=6144,K=32768,ts_gm8_v12_btw_all_R38D (4.6s)
  [  3/176] BUILT N=14336,K=2048,ts_tv16_R38D (4.7s)
  [  4/176] BUILT N=6144,K=32768,default_R38D (4.7s)
  [  5/176] BUILT N=14336,K=2048,ts_lgk4_v12_R38D (4.7s)
  [  6/176] BUILT N=4096,K=32768,p1_btw_all_R38D (4.7s)
  [  7/176] BUILT N=14336,K=2048,ts_gm2_lgk2_R38D (4.7s)
  [  8/176] BUILT N=6144,K=32768,lgk2_v4_R38D (4.8s)
  [  9/176] BUILT N=28672,K=4096,ts_gm8_v12_btw_step3_R38D (4.8s)
  [ 10/176] BUILT N=128256,K=32768,v32_R38D (4.8s)
  [ 11/176] BUILT N=28672,K=4096,ts_gm2_R38D (4.9s)
  [ 12/176] BUILT N=128256,K=32768,lgk4_v12_R38D (4.9s)
  [ 13/176] BUILT N=32768,K=4096,ts_v20_R38D (4.9s)
  [ 14/176] BUILT N=32768,K=28672,p1_btw_all_R38D (5.4s)
  [ 15/176] BUILT N=4096,K=14336,ts_lgk2_v16_R38D (5.8s)
  [ 16/176] BUILT N=32768,K=128256,ts_lgk2_v24_R38D (5.9s)
  [ 17/176] BUILT N=32768,K=4096,gm2_R38D (4.8s)
  [ 18/176] BUILT N=32768,K=4096,ts_u16_R38D (4.8s)
  [ 19/176] BUILT N=28672,K=4096,u32_btw_all_R38D (4.6s)
  [ 20/176] BUILT N=4096,K=3072,p1_btw_all_R38D (4.9s)
  [ 21/176] BUILT N=14336,K=4096,ts_lgk2_btw_step3_R38D (4.9s)
  [ 22/176] BUILT N=6144,K=32768,u8_R38D (4.8s)
  [ 23/176] BUILT N=32768,K=4096,ts_lgk2_btw_step3_R38D (5.0s)
  [ 24/176] BUILT N=28672,K=4096,ts_lgk2_btw_step3_R38D (4.9s)
  [ 25/176] BUILT N=4096,K=28672,no_embed_v20_R38D (4.8s)
  [ 26/176] BUILT N=32768,K=4096,lgk2_v16_R38D (4.9s)
  [ 27/176] BUILT N=4096,K=3072,ts_no_embed_tv16_R38D (4.8s)
  [ 28/176] BUILT N=6144,K=32768,p1_btw_all_R38D (4.7s)
  [ 29/176] BUILT N=4096,K=14336,ts_gm8_v12_btw_step3_R38D (5.8s)
  [ 30/176] BUILT N=4096,K=28672,u32_btw_all_R38D (6.2s)
  [ 31/176] BUILT N=32768,K=28672,ts_gm8_v12_btw_step3_R38D (5.4s)
  [ 32/176] BUILT N=32768,K=28672,ts_v24_R38D (5.4s)
  [ 33/176] BUILT N=4096,K=32768,lgk2_R38D (4.8s)
  [ 34/176] BUILT N=14336,K=2048,ts_no_embed_tv16_R38D (4.7s)
  [ 35/176] BUILT N=28672,K=32768,p1_btw_all_R38D (4.7s)
  [ 36/176] BUILT N=28672,K=4096,ts_gm2u8_R38D (4.9s)
  [ 37/176] BUILT N=28672,K=32768,lgk2_v12_R38D (4.8s)
  [ 38/176] BUILT N=4096,K=3072,ts_gm8_v12_btw_all_R38D (4.9s)
  [ 39/176] BUILT N=28672,K=4096,ts_gm2_v12_R38D (4.9s)
  [ 40/176] BUILT N=4096,K=28672,u16_R38D (4.9s)
  [ 41/176] BUILT N=32768,K=28672,ts_lgk2_btw_step3_R38D (5.2s)
