Shape  Tag             text_hash           parent_hash         verdict
------------------------------------------------------------------------------------------
DLA1   mb0             e5a3b6196c68aba4    c2400812e33eec5c    DIFF
DLA1   mb50            e5a3b6196c68aba4    c2400812e33eec5c    DIFF
DLA1   mb100           e5a3b6196c68aba4    c2400812e33eec5c    DIFF
DLA1   mb200           e5a3b6196c68aba4    c2400812e33eec5c    DIFF
DLA1   relaxocc        e5a3b6196c68aba4    c2400812e33eec5c    DIFF
DLA1   mb0_relaxocc    e5a3b6196c68aba4    c2400812e33eec5c    DIFF
DLA1   pav16           None                c2400812e33eec5c    MISSING
DLA1   pav32           None                c2400812e33eec5c    MISSING
DLA1   pav64           None                c2400812e33eec5c    MISSING
DLA1   nopav           None                c2400812e33eec5c    MISSING
DLA1   nodiv           e5a3b6196c68aba4    c2400812e33eec5c    DIFF
DLA1   nomergem0       e5a3b6196c68aba4    c2400812e33eec5c    DIFF
DLA1   nomisched       be9cb6d11c8f7e4c    c2400812e33eec5c    DIFF
DLA1   dppc            e5a3b6196c68aba4    c2400812e33eec5c    DIFF
DLA1   nodppc          e5a3b6196c68aba4    c2400812e33eec5c    DIFF
DLA1   vgprix          e5a3b6196c68aba4    c2400812e33eec5c    DIFF
DLA1   regclassglob    13f4b16530153269    c2400812e33eec5c    DIFF
DLA1   nolowoccr       e5a3b6196c68aba4    c2400812e33eec5c    DIFF
DLA1   nohighrpr       e5a3b6196c68aba4    c2400812e33eec5c    DIFF
DLA1   lst16           e5a3b6196c68aba4    c2400812e33eec5c    DIFF
DLA1   lst256          e5a3b6196c68aba4    c2400812e33eec5c    DIFF
DLA1   sghazard0       e5a3b6196c68aba4    c2400812e33eec5c    DIFF
DLA1   sghazard64      e5a3b6196c68aba4    c2400812e33eec5c    DIFF
DLA1   wpv0            e5a3b6196c68aba4    c2400812e33eec5c    DIFF
DLA1   wpv500          e5a3b6196c68aba4    c2400812e33eec5c    DIFF
DLA1   lwt50           e5a3b6196c68aba4    c2400812e33eec5c    DIFF
DLA1   lwt100          e5a3b6196c68aba4    c2400812e33eec5c    DIFF
DLA2   mb0             4bd4d79ff4b044c1    4bd4d79ff4b044c1    NOOP
DLA2   mb50            4bd4d79ff4b044c1    4bd4d79ff4b044c1    NOOP
DLA2   mb100           4bd4d79ff4b044c1    4bd4d79ff4b044c1    NOOP
DLA2   mb200           4bd4d79ff4b044c1    4bd4d79ff4b044c1    NOOP
DLA2   relaxocc        4bd4d79ff4b044c1    4bd4d79ff4b044c1    NOOP
DLA2   mb0_relaxocc    4bd4d79ff4b044c1    4bd4d79ff4b044c1    NOOP
DLA2   pav16           54273bcf7cc039d7    4bd4d79ff4b044c1    DIFF
DLA2   pav32           54273bcf7cc039d7    4bd4d79ff4b044c1    DIFF
DLA2   pav64           54273bcf7cc039d7    4bd4d79ff4b044c1    DIFF
DLA2   nopav           54273bcf7cc039d7    4bd4d79ff4b044c1    DIFF
DLA2   nodiv           4bd4d79ff4b044c1    4bd4d79ff4b044c1    NOOP
DLA2   nomergem0       4bd4d79ff4b044c1    4bd4d79ff4b044c1    NOOP
DLA2   nomisched       9a7f789d781acbb9    4bd4d79ff4b044c1    DIFF
DLA2   dppc            4bd4d79ff4b044c1    4bd4d79ff4b044c1    NOOP
DLA2   nodppc          4bd4d79ff4b044c1    4bd4d79ff4b044c1    NOOP
DLA2   vgprix          4bd4d79ff4b044c1    4bd4d79ff4b044c1    NOOP
DLA2   regclassglob    757f1bada390a57a    4bd4d79ff4b044c1    DIFF
DLA2   nolowoccr       4bd4d79ff4b044c1    4bd4d79ff4b044c1    NOOP
DLA2   nohighrpr       4bd4d79ff4b044c1    4bd4d79ff4b044c1    NOOP
