Round 13 OptC verify (5-run). GPU=7 warmup=200 iters=500
==============================================================================================================

S2_16384x4096x28672  shape=16384x4096x28672  comp=5525.3
  baseline  run1: 5085.99 TFLOPS
  baseline  run2: 5075.52 TFLOPS
  baseline  run3: 5051.92 TFLOPS
  baseline  run4: 5070.47 TFLOPS
  baseline  run5: 5052.70 TFLOPS
  candidate run1: 5057.82 TFLOPS
  candidate run2: 5069.20 TFLOPS
  candidate run3: 5075.02 TFLOPS
  candidate run4: 5068.95 TFLOPS
  candidate run5: 5078.88 TFLOPS
  baseline  mean=5067.32 max=5085.99 min=5051.92
  candidate mean=5069.97 max=5078.88 min=5057.82
  delta_mean=+2.65 TFLOPS  (+0.05pp)  gate(mean>=base.max)=FAIL

S5_4096x32768x14336  shape=4096x32768x14336  comp=5296.1
  baseline  run1: 5045.05 TFLOPS
  baseline  run2: 5038.86 TFLOPS
  baseline  run3: 5040.81 TFLOPS
  baseline  run4: 5024.72 TFLOPS
  baseline  run5: 5044.54 TFLOPS
  candidate run1: 5052.87 TFLOPS
  candidate run2: 5030.21 TFLOPS
  candidate run3: 5037.48 TFLOPS
  candidate run4: 5066.84 TFLOPS
  candidate run5: 5045.98 TFLOPS
  baseline  mean=5038.80 max=5045.05 min=5024.72
  candidate mean=5046.68 max=5066.84 min=5030.21
  delta_mean=+7.88 TFLOPS  (+0.15pp)  gate(mean>=base.max)=PASS

S4_4096x28672x32768  shape=4096x28672x32768  comp=5649.9
  baseline  run1: 5390.29 TFLOPS
  baseline  run2: 5389.50 TFLOPS
  baseline  run3: 5383.22 TFLOPS
  baseline  run4: 5384.65 TFLOPS
  baseline  run5: 5383.26 TFLOPS
  candidate run1: 5382.30 TFLOPS
  candidate run2: 5395.83 TFLOPS
  candidate run3: 5385.51 TFLOPS
  candidate run4: 5383.53 TFLOPS
  candidate run5: 5387.36 TFLOPS
  baseline  mean=5386.18 max=5390.29 min=5383.22
  candidate mean=5386.91 max=5395.83 min=5382.30
  delta_mean=+0.73 TFLOPS  (+0.01pp)  gate(mean>=base.max)=FAIL

Saved bench_round13_optC_verify.json
