Total builds: 8  (workers=8)
  ML1_16384x28672x2048             _ts_gm2_v12_memc_dc_r12_iterilp          OK       (4.6s)
  ML3_16384x28672x4096             _ts_gm2_v12_memc_r12_iterilp             OK       (4.7s)
  ML5_14336x32768x4096             _ts_v12_tv0_memc_r12_iterilp             OK       (4.7s)
  NT2_4096x14336x16384             _ts_lgk2_r12_iterilp                     OK       (4.9s)
  NT3_6144x4096x16384              _ts_lgk2_r12_iterilp                     OK       (4.9s)
  NT1_32768x4096x7168              _ts_gm8_v12_r12_iterilp                  OK       (5.1s)
  ML2_4096x32768x6144              _ts_pf4_memc_r12_iterilp                 OK       (5.1s)
  ML4_28672x4096x8192              _ts_lgk2_memc_dc_r12_iterilp             OK       (5.2s)

Elapsed: 5.3s
