shape	M	N	K	policy	rep	layout	tflops	avg_ms	build_md5
8192cube	8192	8192	8192	0	1	RCR	2940.83	0.3739	750f40f5cfe4293a6239e894c0a86bbe
8192cube	8192	8192	8192	0	1	RRR	2945.08	0.3733	750f40f5cfe4293a6239e894c0a86bbe
8192cube	8192	8192	8192	0	1	CRR	2721.51	0.4040	750f40f5cfe4293a6239e894c0a86bbe
8192cube	8192	8192	8192	0	2	RCR	2946.92	0.3731	750f40f5cfe4293a6239e894c0a86bbe
8192cube	8192	8192	8192	0	2	RRR	2939.02	0.3741	750f40f5cfe4293a6239e894c0a86bbe
8192cube	8192	8192	8192	0	2	CRR	2719.33	0.4043	750f40f5cfe4293a6239e894c0a86bbe
8192cube	8192	8192	8192	0	3	RCR	2953.19	0.3723	750f40f5cfe4293a6239e894c0a86bbe
8192cube	8192	8192	8192	0	3	RRR	2941.76	0.3738	750f40f5cfe4293a6239e894c0a86bbe
8192cube	8192	8192	8192	0	3	CRR	2717.21	0.4046	750f40f5cfe4293a6239e894c0a86bbe
8192cube	8192	8192	8192	1	1	RCR	2948.37	0.3729	e19ce17efcac6cfea3f03da6dd2886e8
8192cube	8192	8192	8192	1	1	RRR	2939.59	0.3740	e19ce17efcac6cfea3f03da6dd2886e8
8192cube	8192	8192	8192	1	1	CRR	2723.77	0.4037	e19ce17efcac6cfea3f03da6dd2886e8
8192cube	8192	8192	8192	1	2	RCR	2955.06	0.3721	e19ce17efcac6cfea3f03da6dd2886e8
8192cube	8192	8192	8192	1	2	RRR	2939.54	0.3740	e19ce17efcac6cfea3f03da6dd2886e8
8192cube	8192	8192	8192	1	2	CRR	2719.46	0.4043	e19ce17efcac6cfea3f03da6dd2886e8
8192cube	8192	8192	8192	1	3	RCR	2950.30	0.3727	e19ce17efcac6cfea3f03da6dd2886e8
8192cube	8192	8192	8192	1	3	RRR	2932.84	0.3749	e19ce17efcac6cfea3f03da6dd2886e8
8192cube	8192	8192	8192	1	3	CRR	2721.73	0.4040	e19ce17efcac6cfea3f03da6dd2886e8
