shape	M	N	K	policy	layout	tflops_median	tflops_min	tflops_max	build_md5
8192cube	8192	8192	8192	0	RCR	2946.92	2940.83	2953.19	750f40f5cfe4293a6239e894c0a86bbe
8192cube	8192	8192	8192	0	RRR	2941.76	2939.02	2945.08	750f40f5cfe4293a6239e894c0a86bbe
8192cube	8192	8192	8192	0	CRR	2719.33	2717.21	2721.51	750f40f5cfe4293a6239e894c0a86bbe
8192cube	8192	8192	8192	1	RCR	2950.30	2948.37	2955.06	e19ce17efcac6cfea3f03da6dd2886e8
8192cube	8192	8192	8192	1	RRR	2939.54	2932.84	2939.59	e19ce17efcac6cfea3f03da6dd2886e8
8192cube	8192	8192	8192	1	CRR	2721.73	2719.46	2723.77	e19ce17efcac6cfea3f03da6dd2886e8
8192cube	8192	8192	8192	2	RCR	2878.61	2876.49	2878.93	7046f78772f4fb6f8312d952842b988c
8192cube	8192	8192	8192	2	RRR	2864.59	2863.87	2873.05	7046f78772f4fb6f8312d952842b988c
8192cube	8192	8192	8192	2	CRR	2693.86	2692.27	2695.84	7046f78772f4fb6f8312d952842b988c
8192cube	8192	8192	8192	3	RCR	2877.54	2876.05	2880.69	12d67d4cea5a3227ed812ba295ddbffa
8192cube	8192	8192	8192	3	RRR	2866.50	2862.40	2871.97	12d67d4cea5a3227ed812ba295ddbffa
8192cube	8192	8192	8192	3	CRR	2693.21	2691.42	2694.41	12d67d4cea5a3227ed812ba295ddbffa
4096cube	4096	4096	4096	0	RCR	2468.17	2444.47	2477.07	4ec8250d53406816ea46f460a8ffaecb
4096cube	4096	4096	4096	0	RRR	2445.09	2444.07	2462.59	4ec8250d53406816ea46f460a8ffaecb
4096cube	4096	4096	4096	0	CRR	2273.26	2258.43	2284.34	4ec8250d53406816ea46f460a8ffaecb
4096cube	4096	4096	4096	1	RCR	2474.50	2473.96	2485.56	610f5e4fec487f48dbcc5382a0244672
4096cube	4096	4096	4096	1	RRR	2456.61	2451.12	2458.00	610f5e4fec487f48dbcc5382a0244672
4096cube	4096	4096	4096	1	CRR	2276.29	2276.08	2282.11	610f5e4fec487f48dbcc5382a0244672
4096cube	4096	4096	4096	2	RCR	2404.58	2401.92	2405.06	cfd15f2e0940d4c010f4dd0b87a53f03
4096cube	4096	4096	4096	2	RRR	2384.01	2382.31	2402.26	cfd15f2e0940d4c010f4dd0b87a53f03
4096cube	4096	4096	4096	2	CRR	2229.30	2207.18	2230.74	cfd15f2e0940d4c010f4dd0b87a53f03
4096cube	4096	4096	4096	3	RCR	2406.87	2398.00	2423.77	17713277b3a0e31c8f49de34cc040fd7
4096cube	4096	4096	4096	3	RRR	2405.11	2395.88	2419.08	17713277b3a0e31c8f49de34cc040fd7
4096cube	4096	4096	4096	3	CRR	2233.35	2226.64	2235.91	17713277b3a0e31c8f49de34cc040fd7
8B_GateUp_4kx14kx4k	4096	14336	4096	0	RCR	2587.41	2568.59	2587.95	e60de15fb578016acccd107842f6446a
8B_GateUp_4kx14kx4k	4096	14336	4096	0	RRR	2558.60	2536.23	2565.51	e60de15fb578016acccd107842f6446a
8B_GateUp_4kx14kx4k	4096	14336	4096	0	CRR	2370.28	2363.27	2372.61	e60de15fb578016acccd107842f6446a
8B_GateUp_4kx14kx4k	4096	14336	4096	1	RCR	2587.98	2587.93	2591.46	241aa6eb956e2e2c19ab71cd988f8051
8B_GateUp_4kx14kx4k	4096	14336	4096	1	RRR	2558.93	2558.70	2563.12	241aa6eb956e2e2c19ab71cd988f8051
8B_GateUp_4kx14kx4k	4096	14336	4096	1	CRR	2371.13	2369.00	2374.28	241aa6eb956e2e2c19ab71cd988f8051
8B_GateUp_4kx14kx4k	4096	14336	4096	2	RCR	2475.39	2438.00	2475.83	b4b12078fa27e472271a85525c06dda8
8B_GateUp_4kx14kx4k	4096	14336	4096	2	RRR	2458.79	2422.84	2461.19	b4b12078fa27e472271a85525c06dda8
8B_GateUp_4kx14kx4k	4096	14336	4096	2	CRR	2271.80	2240.92	2273.11	b4b12078fa27e472271a85525c06dda8
8B_GateUp_4kx14kx4k	4096	14336	4096	3	RCR	2468.97	2454.85	2472.93	e6dc92f1d58366aa67cf45fa024b9708
8B_GateUp_4kx14kx4k	4096	14336	4096	3	RRR	2458.34	2457.25	2461.62	e6dc92f1d58366aa67cf45fa024b9708
8B_GateUp_4kx14kx4k	4096	14336	4096	3	CRR	2271.67	2269.57	2277.87	e6dc92f1d58366aa67cf45fa024b9708
8B_Down_4kx4kx14k	4096	4096	14336	0	RCR	2947.27	2947.26	2950.55	c8bf638ec96f766531e70981e3b8f848
8B_Down_4kx4kx14k	4096	4096	14336	0	RRR	2932.59	2929.34	2934.50	c8bf638ec96f766531e70981e3b8f848
8B_Down_4kx4kx14k	4096	4096	14336	0	CRR	2723.15	2717.54	2723.71	c8bf638ec96f766531e70981e3b8f848
8B_Down_4kx4kx14k	4096	4096	14336	1	RCR	2948.31	2947.40	2956.68	256b4e0d61174efb21a00e78f7722ca1
8B_Down_4kx4kx14k	4096	4096	14336	1	RRR	2932.27	2928.57	2939.98	256b4e0d61174efb21a00e78f7722ca1
8B_Down_4kx4kx14k	4096	4096	14336	1	CRR	2722.46	2721.48	2723.04	256b4e0d61174efb21a00e78f7722ca1
8B_Down_4kx4kx14k	4096	4096	14336	2	RCR	2874.04	2872.96	2876.87	052df7f42685cd465b224b12151a7d98
8B_Down_4kx4kx14k	4096	4096	14336	2	RRR	2863.11	2857.07	2873.66	052df7f42685cd465b224b12151a7d98
8B_Down_4kx4kx14k	4096	4096	14336	2	CRR	2693.65	2681.03	2698.85	052df7f42685cd465b224b12151a7d98
8B_Down_4kx4kx14k	4096	4096	14336	3	RCR	2868.92	2838.25	2871.87	dd372c8fe42afc44346b610715844675
8B_Down_4kx4kx14k	4096	4096	14336	3	RRR	2867.05	2860.99	2868.15	dd372c8fe42afc44346b610715844675
8B_Down_4kx4kx14k	4096	4096	14336	3	CRR	2691.08	2688.62	2696.64	dd372c8fe42afc44346b610715844675
70B_QO_4kx8kx8k	4096	8192	8192	0	RCR	2902.15	2897.41	2905.69	18df09df9cf68e4d41be647af18a6d02
70B_QO_4kx8kx8k	4096	8192	8192	0	RRR	2889.95	2885.81	2890.24	18df09df9cf68e4d41be647af18a6d02
70B_QO_4kx8kx8k	4096	8192	8192	0	CRR	2694.29	2689.80	2698.83	18df09df9cf68e4d41be647af18a6d02
70B_QO_4kx8kx8k	4096	8192	8192	1	RCR	2895.90	2895.22	2901.52	b1deba8d519209e7aba3661d157d4029
70B_QO_4kx8kx8k	4096	8192	8192	1	RRR	2883.22	2883.18	2894.18	b1deba8d519209e7aba3661d157d4029
70B_QO_4kx8kx8k	4096	8192	8192	1	CRR	2691.56	2690.65	2694.08	b1deba8d519209e7aba3661d157d4029
70B_QO_4kx8kx8k	4096	8192	8192	2	RCR	2824.38	2824.00	2833.75	9c88bdde1b84db599eb8d6d216b06821
70B_QO_4kx8kx8k	4096	8192	8192	2	RRR	2811.88	2808.65	2820.86	9c88bdde1b84db599eb8d6d216b06821
70B_QO_4kx8kx8k	4096	8192	8192	2	CRR	2642.82	2640.14	2645.55	9c88bdde1b84db599eb8d6d216b06821
70B_QO_4kx8kx8k	4096	8192	8192	3	RCR	2823.91	2823.33	2824.30	fbe192fd8fb1be16047e36b767b66c29
70B_QO_4kx8kx8k	4096	8192	8192	3	RRR	2812.49	2812.01	2822.34	fbe192fd8fb1be16047e36b767b66c29
70B_QO_4kx8kx8k	4096	8192	8192	3	CRR	2647.67	2645.65	2648.34	fbe192fd8fb1be16047e36b767b66c29
70B_GateUp_4kx28kx8k	4096	28672	8192	0	RCR	2845.29	2839.55	2846.14	db1d00a21f19edc492c0907a5f65bacc
70B_GateUp_4kx28kx8k	4096	28672	8192	0	RRR	2783.07	2782.78	2786.31	db1d00a21f19edc492c0907a5f65bacc
70B_GateUp_4kx28kx8k	4096	28672	8192	0	CRR	2502.54	2497.21	2508.30	db1d00a21f19edc492c0907a5f65bacc
70B_GateUp_4kx28kx8k	4096	28672	8192	1	RCR	2843.46	2842.23	2846.33	a5a7bed33b264b4a31741b71c7957983
70B_GateUp_4kx28kx8k	4096	28672	8192	1	RRR	2793.21	2775.42	2795.03	a5a7bed33b264b4a31741b71c7957983
