name,flags,build_ok,vgpr,spill_v,scratch,occupancy,spill_s
baseline,"",1,254,0,0,2,0
sched_max_occupancy,"-mllvm -amdgpu-sched-strategy=max-occupancy",1,254,0,0,2,0
sched_ilp,"-mllvm -amdgpu-sched-strategy=max-ilp",1,254,0,0,2,0
sched_iterative_ilp,"-mllvm -amdgpu-sched-strategy=iterative-ilp",1,254,0,0,2,0
sched_iterative_minreg,"-mllvm -amdgpu-sched-strategy=iterative-minreg",1,256,8,36,2,0
sched_iterative_max_occ,"-mllvm -amdgpu-sched-strategy=iterative-maximum-occupancy",1,254,0,0,2,0
power_sched_off,"-mllvm -amdgpu-disable-power-sched",0,NA,NA,NA,NA,NA
igrouplp_off,"-mllvm -amdgpu-igrouplp=0",0,NA,NA,NA,NA,NA
promote_alloca_16,"-mllvm -amdgpu-promote-alloca-to-vector-limit=16",1,254,0,0,2,0
promote_alloca_32,"-mllvm -amdgpu-promote-alloca-to-vector-limit=32",1,254,0,0,2,0
promote_alloca_64,"-mllvm -amdgpu-promote-alloca-to-vector-limit=64",1,254,0,0,2,0
vgpr_index_mode_dis,"-mllvm -amdgpu-vgpr-index-mode=0",1,254,0,0,2,0
loop_align_off,"-mllvm -amdgpu-disable-loop-alignment",1,254,0,0,2,0
num_vgpr_240,"-mllvm -amdgpu-num-vgpr=240",0,NA,NA,NA,NA,NA
num_vgpr_224,"-mllvm -amdgpu-num-vgpr=224",0,NA,NA,NA,NA,NA
num_vgpr_256,"-mllvm -amdgpu-num-vgpr=256",0,NA,NA,NA,NA,NA
