name,flags,build_ok,vgpr,spill_v,scratch,occupancy,spill_s
baseline,"",1,254,0,0,2,0
sched_max_occ,"-mllvm -amdgpu-sched-strategy=max-occupancy",1,254,0,0,2,0
sched_max_ilp,"-mllvm -amdgpu-sched-strategy=max-ilp",1,254,0,0,2,0
sched_iter_ilp,"-mllvm -amdgpu-sched-strategy=iterative-ilp",1,254,0,0,2,0
sched_iter_max_occ,"-mllvm -amdgpu-sched-strategy=iterative-maximum-occupancy",1,254,0,0,2,0
sched_metric_bias_50,"-mllvm -amdgpu-schedule-metric-bias=50",1,254,0,0,2,0
sched_metric_bias_100,"-mllvm -amdgpu-schedule-metric-bias=100",1,254,0,0,2,0
sched_metric_bias_75,"-mllvm -amdgpu-schedule-metric-bias=75",1,254,0,0,2,0
sched_relaxed_occ,"-mllvm -amdgpu-schedule-relaxed-occupancy",1,254,0,0,2,0
amdgpu_trackers,"-mllvm -amdgpu-use-amdgpu-trackers",1,254,0,0,2,0
disable_clustered_low_occ,"-mllvm -amdgpu-disable-clustered-low-occupancy-reschedule",1,254,0,0,2,0
disable_unclustered_high_rp,"-mllvm -amdgpu-disable-unclustered-high-rp-reschedule",1,254,0,0,2,0
promote_alloca_16,"-mllvm -amdgpu-promote-alloca-to-vector-limit=16",1,254,0,0,2,0
promote_alloca_32,"-mllvm -amdgpu-promote-alloca-to-vector-limit=32",1,254,0,0,2,0
promote_alloca_64,"-mllvm -amdgpu-promote-alloca-to-vector-limit=64",1,254,0,0,2,0
loop_align_off,"-mllvm -amdgpu-disable-loop-alignment",1,254,0,0,2,0
opt_vgpr_liverange,"-mllvm -amdgpu-opt-vgpr-liverange",1,254,0,0,2,0
loop_prefetch,"-mllvm -amdgpu-loop-prefetch",1,254,0,0,2,0
wave_priority,"-mllvm -amdgpu-set-wave-priority",1,254,0,0,2,0
vopd,"-mllvm -amdgpu-enable-vopd",1,254,0,0,2,0
merge_m0,"-mllvm -amdgpu-enable-merge-m0",1,254,0,0,2,0
post_ra_disable,"-mllvm -disable-post-ra",1,254,0,0,2,0
misched_postra,"-mllvm -misched-postra",1,254,0,0,2,0
regalloc_basic,"-mllvm -regalloc=basic",0,NA,NA,NA,NA,NA
regalloc_greedy,"-mllvm -regalloc=greedy",0,NA,NA,NA,NA,NA
